period,lat,lon,expected_annual_exposure_to_hurricane_force_winds
1979_1989,38.947269,-74.9645087690425,0.00666571840877118
1979_1989,38.947269,-74.9332587690425,0.00677225004513481
1979_1989,38.947269,-74.9020087690425,0.00687878168149845
1979_1989,38.947269,-74.8707587690425,0.00700144750947106
1979_1989,38.978519,-74.9332587690425,0.00657598369534754
1979_1989,38.978519,-74.9020087690425,0.0066597880589839
1979_1989,38.978519,-74.8707587690425,0.00676570289421481
1979_1989,38.978519,-74.8395087690425,0.00701242039421481
1979_1989,39.009769,-74.9332587690425,0.00640214809332862
1979_1989,39.009769,-74.9020087690425,0.00648453936605589
1979_1989,39.009769,-74.8707587690425,0.00659067826871074
1979_1989,39.009769,-74.8395087690425,0.00684804549598347
1979_1989,39.009769,-74.8082587690425,0.0071054127232562
1979_1989,39.041019,-74.9332587690425,0.00627763533835771
1979_1989,39.041019,-74.9020087690425,0.00640548115653953
1979_1989,39.041019,-74.8707587690425,0.00654917049240995
1979_1989,39.041019,-74.8395087690425,0.00679375362877358
1979_1989,39.041019,-74.8082587690425,0.00703833676513722
1979_1989,39.041019,-74.7770087690425,0.00728291990150086
1979_1989,39.072269,-74.9020087690425,0.00632642294702317
1979_1989,39.072269,-74.8707587690425,0.00650766271610915
1979_1989,39.072269,-74.8395087690425,0.0067394617615637
1979_1989,39.072269,-74.8082587690425,0.00697126080701824
1979_1989,39.072269,-74.7770087690425,0.00720305985247279
1979_1989,39.072269,-74.7457587690425,0.00742588265802386
1979_1989,39.103519,-74.8707587690425,0.00646615493980835
1979_1989,39.103519,-74.8395087690425,0.00668516989435381
1979_1989,39.103519,-74.8082587690425,0.00690418484889926
1979_1989,39.103519,-74.7770087690425,0.00712319980344472
1979_1989,39.103519,-74.7457587690425,0.00733535913356545
1979_1989,39.103519,-74.7145087690425,0.00750386086083818
1979_1989,39.134769,-74.8707587690425,0.00640622242396216
1979_1989,39.134769,-74.8395087690425,0.00660756878759852
1979_1989,39.134769,-74.8082587690425,0.00680891515123489
1979_1989,39.134769,-74.7770087690425,0.00701026151487125
1979_1989,39.134769,-74.7457587690425,0.00720819871228881
1979_1989,39.134769,-74.7145087690425,0.00738442584865245
1979_1989,39.166019,-74.8707587690425,0.00630577585036443
1979_1989,39.166019,-74.8395087690425,0.0064787131230917
1979_1989,39.166019,-74.8082587690425,0.00665165039581897
1979_1989,39.166019,-74.7770087690425,0.00682458766854625
1979_1989,39.166019,-74.7457587690425,0.00700047762149097
1979_1989,39.166019,-74.7145087690425,0.00719517066694552
1979_1989,39.166019,-74.6832587690425,0.00738986371240006
1979_1989,39.197269,-75.1520087690425,0.00476262681170229
1979_1989,39.197269,-75.0270087690425,0.00509991257885549
1979_1989,39.197269,-74.9957587690425,0.00520694986150741
1979_1989,39.197269,-74.9645087690425,0.00546023481605286
1979_1989,39.197269,-74.9332587690425,0.00571351977059832
1979_1989,39.197269,-74.9020087690425,0.00596680472514377
1979_1989,39.197269,-74.8707587690425,0.00620532927676669
1979_1989,39.197269,-74.8395087690425,0.00634985745858488
1979_1989,39.197269,-74.8082587690425,0.00649438564040306
1979_1989,39.197269,-74.7770087690425,0.00663891382222124
1979_1989,39.197269,-74.7457587690425,0.00679275653069313
1979_1989,39.197269,-74.7145087690425,0.00700591548523859
1979_1989,39.197269,-74.6832587690425,0.00721907443978404
1979_1989,39.228519,-75.1520087690425,0.00471149044806592
1979_1989,39.228519,-75.1207587690425,0.00479482584800924
1979_1989,39.228519,-75.0895087690425,0.00486611352982742
1979_1989,39.228519,-75.0582587690425,0.00493740121164561
1979_1989,39.228519,-75.0270087690425,0.00500868889346379
1979_1989,39.228519,-74.9957587690425,0.00510486991746002
1979_1989,39.228519,-74.9645087690425,0.00535957532655093
1979_1989,39.228519,-74.9332587690425,0.00561428073564184
1979_1989,39.228519,-74.9020087690425,0.00586898614473275
1979_1989,39.228519,-74.8707587690425,0.00610488270316896
1979_1989,39.228519,-74.8395087690425,0.00622100179407806
1979_1989,39.228519,-74.8082587690425,0.00633712088498715
1979_1989,39.228519,-74.7770087690425,0.00645323997589624
1979_1989,39.228519,-74.7457587690425,0.00658503543989529
1979_1989,39.228519,-74.7145087690425,0.00681666030353166
1979_1989,39.228519,-74.6832587690425,0.00704828516716802
1979_1989,39.228519,-74.6520087690425,0.00727991003080439
1979_1989,39.259769,-75.1832587690425,0.00455488151752872
1979_1989,39.259769,-75.1520087690425,0.00464144092661963
1979_1989,39.259769,-75.1207587690425,0.00472545819431165
1979_1989,39.259769,-75.0895087690425,0.00479328673976619
1979_1989,39.259769,-75.0582587690425,0.00486111528522074
1979_1989,39.259769,-75.0270087690425,0.00492894383067528
1979_1989,39.259769,-74.9957587690425,0.00502058027163592
1979_1989,39.259769,-74.9645087690425,0.00526382881709047
1979_1989,39.259769,-74.9332587690425,0.00550707736254501
1979_1989,39.259769,-74.9020087690425,0.00575032590799956
1979_1989,39.259769,-74.8707587690425,0.00597397149630665
1979_1989,39.259769,-74.8395087690425,0.00607278263267029
1979_1989,39.259769,-74.8082587690425,0.00617159376903392
1979_1989,39.259769,-74.7770087690425,0.00627040490539756
1979_1989,39.259769,-74.7457587690425,0.0063887231069901
1979_1989,39.259769,-74.7145087690425,0.0066312651069901
1979_1989,39.259769,-74.6832587690425,0.0068738071069901
1979_1989,39.259769,-74.6520087690425,0.0071163491069901
1979_1989,39.259769,-74.6207587690425,0.0073536260274568
1979_1989,39.291019,-75.2457587690425,0.00425734104902293
1979_1989,39.291019,-75.2145087690425,0.0043481618217502
1979_1989,39.291019,-75.1832587690425,0.00443898259447747
1979_1989,39.291019,-75.1520087690425,0.00452980336720474
1979_1989,39.291019,-75.1207587690425,0.0046198170475612
1979_1989,39.291019,-75.0895087690425,0.00470469104756119
1979_1989,39.291019,-75.0582587690425,0.00478956504756119
1979_1989,39.291019,-75.0270087690425,0.00487443904756119
1979_1989,39.291019,-74.9957587690425,0.00497540961405364
1979_1989,39.291019,-74.9645087690425,0.00517888543223546
1979_1989,39.291019,-74.9332587690425,0.00538236125041728
1979_1989,39.291019,-74.9020087690425,0.0055858370685991
1979_1989,39.291019,-74.8707587690425,0.00577607177606972
1979_1989,39.291019,-74.8395087690425,0.00588198518516063
1979_1989,39.291019,-74.8082587690425,0.00598789859425154
1979_1989,39.291019,-74.7770087690425,0.00609381200334244
1979_1989,39.291019,-74.7457587690425,0.00621749742863419
1979_1989,39.291019,-74.7145087690425,0.00645435761045237
1979_1989,39.291019,-74.6832587690425,0.00669121779227056
1979_1989,39.291019,-74.6520087690425,0.00692807797408874
1979_1989,39.291019,-74.6207587690425,0.00716256482475373
1979_1989,39.291019,-74.5895087690425,0.00738193796111737
1979_1989,39.291019,-74.5582587690425,0.00760131109748101
1979_1989,39.322269,-75.3082587690425,0.00394540782779874
1979_1989,39.322269,-75.2770087690425,0.00403906705507147
1979_1989,39.322269,-75.2457587690425,0.00413291939869895
1979_1989,39.322269,-75.2145087690425,0.00422800153506259
1979_1989,39.322269,-75.1832587690425,0.00432308367142622
1979_1989,39.322269,-75.1520087690425,0.00441816580778986
1979_1989,39.322269,-75.1207587690425,0.00451417590081074
1979_1989,39.322269,-75.0895087690425,0.0046160953553562
1979_1989,39.322269,-75.0582587690425,0.00471801480990165
1979_1989,39.322269,-75.0270087690425,0.0048199342644471
1979_1989,39.322269,-74.9957587690425,0.00493023895647136
1979_1989,39.322269,-74.9645087690425,0.00509394204738046
1979_1989,39.322269,-74.9332587690425,0.00525764513828955
1979_1989,39.322269,-74.9020087690425,0.00542134822919864
1979_1989,39.322269,-74.8707587690425,0.00557817205583279
1979_1989,39.322269,-74.8395087690425,0.00569118773765097
1979_1989,39.322269,-74.8082587690425,0.00580420341946915
1979_1989,39.322269,-74.7770087690425,0.00591721910128733
1979_1989,39.322269,-74.7457587690425,0.00604627175027828
1979_1989,39.322269,-74.7145087690425,0.00627745011391465
1979_1989,39.322269,-74.6832587690425,0.00650862847755101
1979_1989,39.322269,-74.6520087690425,0.00673980684118737
1979_1989,39.322269,-74.6207587690425,0.00697150362205067
1979_1989,39.322269,-74.5895087690425,0.0072065017584143
1979_1989,39.322269,-74.5582587690425,0.00744149989477794
1979_1989,39.322269,-74.5270087690425,0.00767649803114157
1979_1989,39.353519,-75.3707587690425,0.00370444682768748
1979_1989,39.353519,-75.3395087690425,0.0037796401458693
1979_1989,39.353519,-75.3082587690425,0.00385483346405112
1979_1989,39.353519,-75.2770087690425,0.00393002678223294
1979_1989,39.353519,-75.2457587690425,0.00400849774837497
1979_1989,39.353519,-75.2145087690425,0.00410784124837497
1979_1989,39.353519,-75.1832587690425,0.00420718474837497
1979_1989,39.353519,-75.1520087690425,0.00430652824837497
1979_1989,39.353519,-75.1207587690425,0.00440853475406029
1979_1989,39.353519,-75.0895087690425,0.0045274996631512
1979_1989,39.353519,-75.0582587690425,0.00464646457224211
1979_1989,39.353519,-75.0270087690425,0.00476542948133302
1979_1989,39.353519,-74.9957587690425,0.00488506829888908
1979_1989,39.353519,-74.9645087690425,0.00500899866252545
1979_1989,39.353519,-74.9332587690425,0.00513292902616182
1979_1989,39.353519,-74.9020087690425,0.00525685938979818
1979_1989,39.353519,-74.8707587690425,0.00538027233559586
1979_1989,39.353519,-74.8395087690425,0.00550039029014131
1979_1989,39.353519,-74.8082587690425,0.00562050824468677
1979_1989,39.353519,-74.7770087690425,0.00574062619923222
1979_1989,39.353519,-74.7457587690425,0.00587504607192237
1979_1989,39.353519,-74.7145087690425,0.00610054261737692
1979_1989,39.353519,-74.6832587690425,0.00632603916283146
1979_1989,39.353519,-74.6520087690425,0.00655153570828601
1979_1989,39.353519,-74.6207587690425,0.0067804424193476
1979_1989,39.353519,-74.5895087690425,0.00703106555571124
1979_1989,39.353519,-74.5582587690425,0.00728168869207487
1979_1989,39.353519,-74.5270087690425,0.00753231182843851
1979_1989,39.353519,-74.4957587690425,0.00777231956778915
1979_1989,39.353519,-74.4645087690425,0.00794472693142552
1979_1989,39.384769,-75.4020087690425,0.00338982794396761
1979_1989,39.384769,-75.3707587690425,0.00361660648848522
1979_1989,39.384769,-75.3395087690425,0.00368310289757613
1979_1989,39.384769,-75.3082587690425,0.00374959930666704
1979_1989,39.384769,-75.2770087690425,0.00381609571575794
1979_1989,39.384769,-75.2457587690425,0.00388889403883602
1979_1989,39.384769,-75.2145087690425,0.00400182385701783
1979_1989,39.384769,-75.1832587690425,0.00411475367519965
1979_1989,39.384769,-75.1520087690425,0.00422768349338147
1979_1989,39.384769,-75.1207587690425,0.0043412146348307
1979_1989,39.384769,-75.0895087690425,0.00445857508937616
1979_1989,39.384769,-75.0582587690425,0.00457593554392162
1979_1989,39.384769,-75.0270087690425,0.00469329599846707
1979_1989,39.384769,-74.9957587690425,0.00480747602948852
1979_1989,39.384769,-74.9645087690425,0.00490140266585216
1979_1989,39.384769,-74.9332587690425,0.00499532930221579
1979_1989,39.384769,-74.9020087690425,0.00508925593857943
1979_1989,39.384769,-74.8707587690425,0.00518764089523496
1979_1989,39.384769,-74.8395087690425,0.00531441707705315
1979_1989,39.384769,-74.8082587690425,0.00544119325887133
1979_1989,39.384769,-74.7770087690425,0.00556796944068951
1979_1989,39.384769,-74.7457587690425,0.00570725222604581
1979_1989,39.384769,-74.7145087690425,0.00592617886240945
1979_1989,39.384769,-74.6832587690425,0.00614510549877308
1979_1989,39.384769,-74.6520087690425,0.00636403213513672
1979_1989,39.384769,-74.6207587690425,0.00658835670180991
1979_1989,39.384769,-74.5895087690425,0.00684705606544627
1979_1989,39.384769,-74.5582587690425,0.00710575542908264
1979_1989,39.384769,-74.5270087690425,0.007364454792719
1979_1989,39.384769,-74.4957587690425,0.00761117762340458
1979_1989,39.384769,-74.4645087690425,0.00778163216885912
1979_1989,39.384769,-74.4332587690425,0.00795208671431367
1979_1989,39.384769,-74.4020087690425,0.00812254125976822
1979_1989,39.416019,-75.4332587690425,0.00306314358703328
1979_1989,39.416019,-75.4020087690425,0.00326679604157874
1979_1989,39.416019,-75.3707587690425,0.00345356881024056
1979_1989,39.416019,-75.3395087690425,0.00353284931024056
1979_1989,39.416019,-75.3082587690425,0.00361212981024056
1979_1989,39.416019,-75.2770087690425,0.00369141031024056
1979_1989,39.416019,-75.2457587690425,0.00377988447260784
1979_1989,39.416019,-75.2145087690425,0.00392690519988056
1979_1989,39.416019,-75.1832587690425,0.00407392592715329
1979_1989,39.416019,-75.1520087690425,0.00422094665442601
